Ano,Fase,Questão,Link
2018,Fase 2,Fuga,https://olimpiada.ic.unicamp.br/pratique/p2/2018/f2/fuga/
2018,Fase 2,Wifi,https://olimpiada.ic.unicamp.br/pratique/p2/2018/f2/wifi/
2018,Fase 1,Câmara de Compensação,https://olimpiada.ic.unicamp.br/pratique/p2/2018/f1/compensacao/
2018,Fase 1,Figurinhas da copa,https://olimpiada.ic.unicamp.br/pratique/p2/2018/f1/figurinhas/
2018,Fase 1,Piso da escola,https://olimpiada.ic.unicamp.br/pratique/p2/2018/f1/piso/
2017,Fase 3,Arranha-céu,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f3/arranhaceu/
2017,Fase 3,Código,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f3/codigo/
2017,Fase 3,Dividindo o império,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f3/imperio/
2017,Fase 3,Postes,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f3/postes/
2017,Fase 3,Taxa,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f3/taxa/
2017,Fase 2,Cortando o Papel,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f2/papel/
2017,Fase 2,Dario e Xerxes,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f2/xerxes/
2017,Fase 2,Frete,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f2/frete/
2017,Fase 2,Mapa,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f2/mapa/
2017,Fase 1,Botas Trocadas,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f1/botas/
2017,Fase 1,Game-10,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f1/game10/
2017,Fase 1,O Chefe,https://olimpiada.ic.unicamp.br/pratique/p2/2017/f1/chefe/
2016,Fase 2,Ciclovias,https://olimpiada.ic.unicamp.br/pratique/p2/2016/f2/ciclovias/
2016,Fase 2,Falta uma,https://olimpiada.ic.unicamp.br/pratique/p2/2016/f2/falta-uma/
2016,Fase 2,Jardim de Infância,https://olimpiada.ic.unicamp.br/pratique/p2/2016/f2/jardim/
2016,Fase 2,"Pô, que mão",https://olimpiada.ic.unicamp.br/pratique/p2/2016/f2/pokemon/
2016,Fase 2,Quase primo,https://olimpiada.ic.unicamp.br/pratique/p2/2016/f2/quase-primo/
2016,Fase 1,Chaves,https://olimpiada.ic.unicamp.br/pratique/p2/2016/f1/chaves/
2016,Fase 1,Chuva,https://olimpiada.ic.unicamp.br/pratique/p2/2016/f1/chuva/
2016,Fase 1,Lâmpadas do hotel,https://olimpiada.ic.unicamp.br/pratique/p2/2016/f1/lampadas-hotel/
2016,Fase 1,Sanduíche,https://olimpiada.ic.unicamp.br/pratique/p2/2016/f1/sanduiche/
2016,Fase 1,Toca do Saci,https://olimpiada.ic.unicamp.br/pratique/p2/2016/f1/toca-saci/
2015,Fase 2,Cálculo,https://olimpiada.ic.unicamp.br/pratique/p2/2015/f2/calculo/
2015,Fase 2,Chocolate em Barra,https://olimpiada.ic.unicamp.br/pratique/p2/2015/f2/chocolate/
2015,Fase 2,Fila,https://olimpiada.ic.unicamp.br/pratique/p2/2015/f2/fila/
2015,Fase 2,Macacos me Mordam!,https://olimpiada.ic.unicamp.br/pratique/p2/2015/f2/macacos/
2015,Fase 2,Mina,https://olimpiada.ic.unicamp.br/pratique/p2/2015/f2/mina/
2015,Fase 1,Caixinha de Palitos,https://olimpiada.ic.unicamp.br/pratique/p2/2015/f1/caixinha/
2015,Fase 1,Cobra Coral,https://olimpiada.ic.unicamp.br/pratique/p2/2015/f1/coral/
2015,Fase 1,Família real,https://olimpiada.ic.unicamp.br/pratique/p2/2015/f1/real/
2015,Fase 1,O Banco Inteligente,https://olimpiada.ic.unicamp.br/pratique/p2/2015/f1/banco/
2015,Fase 1,Quebra-cabeça,https://olimpiada.ic.unicamp.br/pratique/p2/2015/f1/quebra/
2014,Fase 2,Blefe,https://olimpiada.ic.unicamp.br/pratique/p2/2014/f2/blefe/
2014,Fase 2,Frequência,https://olimpiada.ic.unicamp.br/pratique/p2/2014/f2/frequencia/
2014,Fase 2,Mapa,https://olimpiada.ic.unicamp.br/pratique/p2/2014/f2/mapa/
2014,Fase 2,Notas,https://olimpiada.ic.unicamp.br/pratique/p2/2014/f2/notas/
2014,Fase 2,Tapetes,https://olimpiada.ic.unicamp.br/pratique/p2/2014/f2/tapetes/
2014,Fase 1,Copa do Mundo,https://olimpiada.ic.unicamp.br/pratique/p2/2014/f1/copa/
2014,Fase 1,Fechadura,https://olimpiada.ic.unicamp.br/pratique/p2/2014/f1/fechadura/
